indonesian,english
abu,ash
abu,char
abu,cinder
abu,dust
adopsi,adoption
aduh,oh god
aduh,oh man
aduh,oh no
aduh,oof
aduh,ouch
aduh,ow
aktif,active
aktif,dynamic
aktif,lively
aku,i
aku,me
alam,essence
alam,nature
alasan,argument
alasan,cause
alasan,excuse
alasan,ground
alasan,motivation
alasan,motive
alasan,rationale
alasan,reason
alasan,reasoning
aman,peaceful
aman,safe
aman,secure
amat,disturbingly
amat,enormous
amat,exceedingly
amat,extremely
amat,greatly
amat,incredibly
amat,most
amat,really
amat,so
amat,super
amat,terribly
amat,tremendous
amat,vastly
amat,very
amat,well
amat,wonderfully
ambil,get
ambil,grab
ambil,pick up
ambil,take
ancam,intimidate
ancam,scare off
ancam,snarl
ancam,threaten
ancaman,danger
ancaman,intimidation
ancaman,menace
ancaman,scare tactics
ancaman,threat
aneh,abnormal
aneh,bizarre
aneh,curious
aneh,eccentric
aneh,funny
aneh,odd
aneh,peculiar
aneh,quaint
aneh,strange
aneh,uncanny
aneh,unusual
aneh,weird
anehnya,abnormally
anehnya,bizarrely
anehnya,eccentricly
anehnya,oddly
anehnya,peculiarly
anehnya,strangely
anehnya,unusually
anehnya,weirdly
anggun,elegant
anggun,graceful
anggun,prim
anggun,proper
anti,anti
anti,anti-
anti,contra-
antisipasi,anticipation
api,blaze
api,fire
api,flame
api,light
apresiasi,appreciation
asing,alien
asing,different
asing,exotic
asing,foreign
asing,non-native
asing,strange
asyik,fun
asyik,hooray
asyik,yay
badass,alpha
badass,awesome
badass,badass
badass,chad
bagi,divide
bagi,for
bagi,give away
bagi,share
bagi,to
bagus,amazing
bagus,awesome
bagus,beautiful
bagus,excellent
bagus,fine
bagus,good
bagus,great
bagus,nice
bagus,wonderful
bahagia,cheerful
bahagia,content
bahagia,happy
bahaya,challenge
bahaya,danger
bahaya,harm
bahaya,hazard
bahaya,risk
baik,decent
baik,good
baik,kind
baik,nice
baik,okay
baik,well
ban,belt
ban,tire
bangga,proud
bantu,assist
bantu,give a hand
bantu,help
bantu,lend a hand
batal,abandon
batal,call off
batal,cancel
batal,cancell
batal,invalid
batal,not happening
batas,border
batas,boundary
batas,bounds
batas,limit
batas,line
bebas,candid
bebas,free
bebas,independent
bebas,open
beberapa,a bunch of
beberapa,a number of
beberapa,certain
beberapa,couple
beberapa,few
beberapa,many
beberapa,several
beberapa,some
bela,care
bela,defend
bela,protect
belakang,back
belakang,behind
belakang,hind
belakang,rear
benar,accurate
benar,correct
benar,right
benar,true
benar,valid
bencana,catastrophe
bencana,disaster
bencana,tragedy
benci,abhor
benci,can't stand
benci,despise
benci,detest
benci,dislike
benci,hate
benci,loathe
benci,resent
berani,bold
berani,brave
berani,courageous
berani,daring
berani,gallant
berani,gutsy
berani,manly
berani,spunky
berani,tough
berani,valiant
berarti,counts
berarti,matters
berarti,meaningful
berarti,significant
berarti,useful
berarti,valuable
berat,complicated
berat,difficult
berat,heavy
berat,heft
berat,serious
berat,severe
berat,tough
berat,weight
berat,weighty
berbahaya,bad news
berbahaya,challenging
berbahaya,dangerous
berbahaya,deadly
berbahaya,fatal
berbahaya,harmful
berbahaya,hazardous
berbahaya,risky
berbahaya,threatening
berbahaya,unsafe
berdarah,bleed
berdarah,bloody
berdarah,gory
berdoa,hope
berdoa,pray
berdoa,worship
berduka,mourn
berduka,sorrow
berguna,beneficial
berguna,handy
berguna,helpful
berguna,of use
berguna,useful
berhak,entitled
berhak,have the right to
berhak,reserve the right to
berhak,rightful
berharap,cross fingers
berharap,expect
berharap,hope
beri,berry
beri,give
berkomitmen,commited
berkomitmen,committed
berlebihan,excessive
berlebihan,obsessive
berlebihan,overkill
berlebihan,too much
bermanfaat,advantageous
bermanfaat,benefecial
bermanfaat,beneficial
bermanfaat,fruitful
bermanfaat,helpful
bermanfaat,of use
bermanfaat,productive
bermanfaat,useful
bermanfaat,worthwhile
bersaing,compete
bersaing,competitive
bersaing,contend
bersaing,face off
bersama,in collaboration with
bersama,in conjunction with
bersama,together
bersama,together with
bersama,with
bersedih,grieve
bersedih,heartbroken
bersedih,mourn
bersedih,sad
bersembunyi,hide
bersembunyi,hiding
bersembunyi,lurking
bersembunyi,lying low
bersembunyi,sheltering
bersorak,cheer
bersorak,cheering
bersorak,screaming
bersorak,shout
bersorak,shouting
bersorak,squealing
bersorak,yelling
besar,big
besar,bug
besar,bulky
besar,enormous
besar,grand
besar,great
besar,huge
besar,humongous
besar,large
besar,major
besar,significant
besar,substantial
biadab,animalistic
biadab,barbaric
biadab,inhuman
biadab,savage
biadab,uncivilized
biadab,uneducated
biadab,wild
biaya,charge
biaya,cost
biaya,expense
biaya,fee
biaya,money
biaya,price
bingung,baffled
bingung,confuse
bingung,confused
bingung,perplexed
bingung,puzzled
bodoh,braindead
bodoh,brainless
bodoh,dense
bodoh,dumb
bodoh,fool
bodoh,foolish
bodoh,idiot
bodoh,ignorant
bodoh,silly
bodoh,stupid
bohong,deceive
bohong,fabricate
bohong,lie
bom,bomb
bom,explosive
buka,open
bunga,flora
bunga,flower
bunga,interest
bungkam,quiet
bungkam,silence
bungkam,silent
bunuh,assassinate
bunuh,cut
bunuh,kill
bunuh,murder
bunuh,off
bunuh,slay
bunuh,snuff
bunuh diri,kill oneself
bunuh diri,suicide
buruk,awful
buruk,bad
buruk,bad 
buruk,foul
buruk,horrible
buruk,ill
buruk,nasty
buruk,poor
buruk,rotten
buruk,terrible
buruk,ugly
buta,blind
buta,eyeless
buta,sightless
cantik,attractive
cantik,beautiful
cantik,fair
cantik,lovely
cantik,pretty
capai,achieve
capai,achieved
capai,reach
capai,tired
capai,weary
cari,explore
cari,look for
cari,search
cari,seek
cedera,injured
cedera,injury
cegah,prevent
cegah,stop
cemas,anxious
cemas,concerned
cemas,on edge
cemas,worried
cepat,fast
cepat,hurry
cepat,nimble
cepat,prompt
cepat,quick
cepat,rapid
cepat,snappy
cepat,speedy
cepat,swift
cerdas,astute
cerdas,big-brained
cerdas,brainy
cerdas,bright
cerdas,brilliant
cerdas,clever
cerdas,intelligent
cerdas,sharp
cerdas,sharp-witted
cerdas,shrewd
cerdas,smart
cinta,love
cium,kiss
cium,smell
cium,smooch
cium,sniff
cocok,appropriate
cocok,compatible
cocok,correct
cocok,fit
cocok,match
cocok,right
cocok,suitable
copet,pickpocket
copet,purse snatcher
copet,thief
damai,peace
damai,peaceful
dapat,able
dapat,acquire
dapat,can
dapat,get
dapat,have
dapat,obtain
dapat,receive
daya,energy
daya,power
daya,strength
diabaikan,abandoned
diabaikan,disregarded
diabaikan,ignored
diabaikan,left
diam,idle
diam,quiet
diam,silent
diancam,intimidated
diancam,threatened
dibersihkan,cleaned
dibersihkan,taken care of
dibersihkan,tidied
dicuri,snatched
dicuri,stolen
dihukum,punished
dikalahkan,beaten
dikalahkan,defeated
dikalahkan,outmatched
dikalahkan,outplayed
dipercaya,trusted
dipermalukan,humiliated
dipertanyakan,put into question
dipertanyakan,questionable
dipertanyakan,questioned
diprovokasi,aggravated
diprovokasi,agitated
diprovokasi,provocated
diprovokasi,provoked
diprovokasi,riled up
disebut-sebut,mentioned
disebut-sebut,rumored
disebut-sebut,said
ditakuti,feared
ditakuti,infamous
ditakuti,scared
ditangkap,apprehended
ditangkap,arrested
ditangkap,captured
ditangkap,detained
ditangkap,imprisoned
ditangkap,incarcerated
ditangkap,jailed
ditangkap,restrained
ditangkap,secured
ditangkap,seized
diteror,intimidated
diteror,terrorized
ditinggalkan,abandoned
ditinggalkan,discarded
ditinggalkan,dropped
ditinggalkan,left
ditinggalkan,left behind
ditinggalkan,neglected
ditingkatkan,enhanced
ditingkatkan,improved
ditingkatkan,increased
ditingkatkan,upgraded
dituduh,accused
dituduh,charged
